tracking_id,gene_short_name,P8 AT2 Control_A,P8 AT2 Control_B,P9 AT2 Control_C,P8 AT2 Mutant_A, P8 AT2 Mutant_B,P9 AT2 Mutant_C,Average Log2 foldchange (FPKM +1),T-test p-value,,,,,,,,,,,,,
XLOC_000130,Pik3r1,11.2681,9.93256,11.4515,14.911,15.8242,11.7278,0.3,0.183029072,,,,,,,,,,,,,
XLOC_000131,Evi2a,3.25988,1.75763,4.47493,0.387726,0.890329,0.759038,-1.3,0.072520421,,,,,,,,,,,,,
XLOC_000132,Tnfrsf9,0.779014,1.16533,0.915104,0.0810657,0.307003,0.947065,-0.5,0.197214312,,,,,,,,,,,,,
XLOC_000133,Gnas,1038.05,1080.97,813.932,975.908,1034.66,898.803,0.0,0.970615176,,,,,,,,,,,,,
XLOC_000134,,0.290598,0.219166,0.466631,0.0367684,0.0620028,0.100432,-0.3,0.038059913,,,,,,,,,,,,,
XLOC_000135,Shroom3,20.4643,18.3486,19.1039,49.8744,55.2608,39.7495,1.3,0.013835509,,,,,,,,,,,,,
XLOC_000136,Lrba,12.4812,8.90981,12.2424,16.895,15.9691,13.5851,0.4,0.139215134,,,,,,,,,,,,,
XLOC_000137,,263.973,393.417,307.038,199.924,221.435,227.491,-0.6,0.056698024,,,,,,,,,,,,,
XLOC_000138,Adgrg2,0.737332,0.255601,0.51172,0.286595,0.319425,0.367033,-0.2,0.367248304,,,,,,,,,,,,,
XLOC_000139,Gas2l3,0.984319,0.800189,2.07646,4.53634,4.06882,5.06819,1.3,0.016050363,,,,,,,,,,,,,
XLOC_000140,Repin1,5.41832,7.1319,9.32522,9.39923,8.00474,11.2328,0.4,0.165260942,,,,,,,,,,,,,
XLOC_000141,Fgfr1,6.87593,6.43701,6.41312,10.8575,7.64328,9.19713,0.4,0.061037545,,,,,,,,,,,,,
XLOC_000142,Rnps1,53.7527,48.5777,43.6182,78.5812,80.4885,83.7912,0.7,0.022800865,,,,,,,,,,,,,
XLOC_000143,Tmpo,52.5912,56.6779,67.5983,187.886,164.292,186.742,1.6,0.004906417,,,,,,,,,,,,,
XLOC_000144,,144.699,167.014,146.433,152.91,168.665,165.737,0.1,0.197850006,,,,,,,,,,,,,
XLOC_000145,Gsg1,0.0824939,0.0652676,0,0.070028,0,0,0.0,0.328063967,,,,,,,,,,,,,
XLOC_000146,Gtf2i,82.6775,80.6931,78.1846,93.0649,87.0689,85.909,0.1,0.015880124,,,,,,,,,,,,,
XLOC_000147,Myo1c,71.948,56.1507,59.8391,142.655,138.495,133.049,1.1,0.006152809,,,,,,,,,,,,,
XLOC_000148,G3bp2,19.4812,16.082,15.5039,26.0305,26.7267,25.1508,0.6,0.024765024,,,,,,,,,,,,,
XLOC_000149,Rbpj,11.9903,10.9984,10.0969,18.7138,17.1094,18.1145,0.7,0.008782147,,,,,,,,,,,,,
XLOC_000150,Larp4,16.2545,15.268,15.8978,15.9381,14.9843,16.6245,0.0,0.929583369,,,,,,,,,,,,,
XLOC_000151,Aurkc,0.0442483,0.0532944,0,0.037566,0.0622979,0,0.0,0.886713823,,,,,,,,,,,,,
XLOC_000152,Trmt2a,12.0833,14.597,12.8612,17.1433,17.3824,19.7736,0.4,0.051867545,,,,,,,,,,,,,
XLOC_000153,Nsd3,16.6217,18.1774,16.7272,19.6037,18.3882,19.3923,0.1,0.155806983,,,,,,,,,,,,,
XLOC_000154,Slc9a5,5.4349,5.00661,6.3676,3.11587,2.06661,3.42317,-0.8,0.014928398,,,,,,,,,,,,,
XLOC_000155,Ppp2r5c,34.391,32.3908,31.814,42.1494,42.5835,40.6268,0.3,0.007053908,,,,,,,,,,,,,
XLOC_000156,Gtf2ird1,8.90877,10.0036,8.97578,16.0315,14.6838,16.9669,0.7,0.020240082,,,,,,,,,,,,,
XLOC_000157,Pik3r6,0.383122,0.35161,0.980821,0.159557,0.358587,0.336784,-0.3,0.243931362,,,,,,,,,,,,,
XLOC_000158,Ccnd3,72.7832,68.7263,60.9925,44.8544,44.5239,39.0003,-0.6,0.00110625,,,,,,,,,,,,,
XLOC_000159,Pitpnm3,8.94305,11.6626,18.3775,9.46293,9.01092,11.2883,-0.3,0.283149773,,,,,,,,,,,,,
XLOC_000160,Zbtb21,4.67299,5.62085,4.61991,5.26575,4.66734,5.40678,0.0,0.808895684,,,,,,,,,,,,,
XLOC_000161,Nfix,45.6182,39.2037,44.4507,55.2488,48.4026,46.5422,0.2,0.102814764,,,,,,,,,,,,,
XLOC_000162,Tmsb15b2,9.46461,9.48746,8.46406,13.5731,16.683,14.651,0.7,0.017586961,,,,,,,,,,,,,
XLOC_000163,,3.34314,2.44458,3.75275,2.38708,2.59937,4.47011,0.0,0.87194139,,,,,,,,,,,,,
XLOC_000164,Enah,1.3337,1.13462,1.46948,1.88416,2.7144,2.75293,0.6,0.058039339,,,,,,,,,,,,,
XLOC_000165,Lhx6,0.18866,0.090071,0.309515,0.0971324,0,0.0371871,-0.2,0.11685263,,,,,,,,,,,,,
XLOC_000166,Magi1,10.8789,11.4448,10.7008,20.1438,20.4509,17.5043,0.8,0.004465421,,,,,,,,,,,,,
XLOC_000167,Mtg2,7.88635,9.05111,10.3776,7.46996,8.27862,8.54938,-0.1,0.118107383,,,,,,,,,,,,,
XLOC_000168,,0.0155686,0,0.0127613,0,0,0,0.0,0.187428331,,,,,,,,,,,,,
XLOC_000169,Rusc1,9.25191,9.44993,7.235,8.53128,9.38409,6.92102,-0.1,0.177104715,,,,,,,,,,,,,
XLOC_000170,Slc43a1,0.283893,0.0703264,0.146379,0.180759,0.276178,0.176021,0.1,0.654168188,,,,,,,,,,,,,
XLOC_000171,1600012H06Rik,8.22255,8.42278,8.16646,9.83139,10.7829,9.77676,0.3,0.012725958,,,,,,,,,,,,,
XLOC_000172,Mpzl1,23.6735,20.2461,20.2781,34.2769,37.1103,33.4029,0.7,0.018587279,,,,,,,,,,,,,
XLOC_000173,Fetub,2.53137,1.8028,1.93008,1.07456,2.84155,1.54555,-0.2,0.67464123,,,,,,,,,,,,,
XLOC_000174,Xirp2,0,0,0,0,0,0.00239483,0.0,0.422649731,,,,,,,,,,,,,
XLOC_000175,Wbp1,62.4885,95.5679,68.2641,64.7888,62.5512,62.7696,-0.2,0.372071595,,,,,,,,,,,,,
XLOC_000176,Tle3,11.6005,9.90473,11.4404,12.6991,11.3833,11.8987,0.1,0.088547356,,,,,,,,,,,,,
XLOC_000177,Pth1r,1.15532,0.282655,0.931419,0.174794,0.271752,0.287699,-0.5,0.192509201,,,,,,,,,,,,,
XLOC_000178,Spo11,0,0,0,0,0,0,0.0,#DIV/0!,,,,,,,,,,,,,
XLOC_000179,Speg,12.9043,16.1183,9.87617,8.65063,6.92932,7.65586,-0.7,0.107627361,,,,,,,,,,,,,
XLOC_000180,Sdccag3,27.7062,26.6794,25.733,23.3532,23.3057,23.1671,-0.2,0.018874885,,,,,,,,,,,,,
XLOC_000181,Nadk2,15.254,20.9477,16.6962,11.6947,11.4732,11.5803,-0.6,0.055210734,,,,,,,,,,,,,
XLOC_000182,Zfp467,28.2865,29.5897,29.3823,17.5313,17.5539,15.5041,-0.8,0.007487792,,,,,,,,,,,,,
XLOC_000183,Ctnnd1,77.7197,68.4673,77.0272,160.971,151.243,149.541,1.0,0.002592853,,,,,,,,,,,,,
XLOC_000184,Acin1,76.3454,82.1927,92.3684,75.8418,71.0817,75.0015,-0.2,0.181494839,,,,,,,,,,,,,
XLOC_000185,,100.483,81.8525,70.2108,61.4041,61.7642,56.086,-0.5,0.055347295,,,,,,,,,,,,,
XLOC_000186,Trappc13,14.3105,14.894,12.0302,18.4942,17.9833,18.6109,0.4,0.057075619,,,,,,,,,,,,,
XLOC_000187,Myadm,70.6447,47.2447,49.8658,94.7733,119.294,97.2086,0.9,0.075487656,,,,,,,,,,,,,
XLOC_000188,Myt1l,0.00371735,0.00291492,0,0.0084499,0,0.00241039,0.0,0.59798272,,,,,,,,,,,,,
XLOC_000189,Asap2,2.3113,1.88813,3.1083,4.19765,4.57452,4.66173,0.7,0.039870437,,,,,,,,,,,,,
XLOC_000190,Pcdh10,0.0108656,0.12027,0.0209368,0.0270606,0.0554943,0.0530296,0.0,0.893567813,,,,,,,,,,,,,
XLOC_000191,Pdp1,3.0208,3.19406,2.97955,5.7854,4.34486,6.01382,0.6,0.04856599,,,,,,,,,,,,,
XLOC_000192,Sp3,28.919,28.9695,29.7132,32.7983,31.3519,31.836,0.1,0.034967991,,,,,,,,,,,,,
XLOC_000193,Pwwp2b,12.4523,16.1078,17.2966,23.3811,22.6855,23.4409,0.6,0.05258738,,,,,,,,,,,,,
XLOC_000194,Atxn7l3,19.1716,17.9256,17.9626,26.1997,22.5413,24.5207,0.4,0.009458755,,,,,,,,,,,,,
XLOC_000195,Gm14393,1.02757,0.792767,3.58544,1.70051,0.915113,2.14536,0.0,0.970609816,,,,,,,,,,,,,
XLOC_000196,Trmt61a,1.26906,2.24085,2.18797,5.0064,4.44209,7.56215,1.2,0.033077916,,,,,,,,,,,,,
XLOC_000197,Acp5,6.77006,8.70852,8.46459,13.2212,16.2575,13.0754,0.8,0.014900444,,,,,,,,,,,,,
XLOC_000198,Kng2,1.17237,0.284641,1.00285,0.561167,0.933807,1.17267,0.1,0.82636153,,,,,,,,,,,,,
XLOC_000199,Kng1,0.0307881,0,0,0,0.0280527,0.0290541,0.0,0.700288347,,,,,,,,,,,,,
XLOC_000200,Slc2a9,0.250094,0.381726,0.616727,0.68103,0.491309,0.631238,0.2,0.280288759,,,,,,,,,,,,,
XLOC_000201,Stx16,15.9023,14.3177,20.9944,16.0744,15.1056,15.406,-0.1,0.548221555,,,,,,,,,,,,,
XLOC_000202,Acbd5,17.2362,14.0942,15.1847,15.1966,14.1899,11.9202,-0.2,0.234726635,,,,,,,,,,,,,
XLOC_000203,,42.4924,36.4667,38.9006,59.2358,59.1389,61.6452,0.6,0.011937091,,,,,,,,,,,,,
XLOC_000204,,273.321,240.623,239.346,323.925,306.81,250.345,0.2,0.118601334,,,,,,,,,,,,,
XLOC_000205,Nrp,6.13046,9.45456,5.93874,7.07259,6.62237,8.12734,0.0,0.891099109,,,,,,,,,,,,,
