"","TF","D","W"
"199","YY1","I",0.0107436674817851
"83","SREBF1","I",0.0107434555214045
"125","TAL1","I",0.0107168780330591
"215","SMC3","I",0.0107147001551885
"501","CTCF","I",0.010707223858484
"796","ATF2","O",0.0107025919424256
"957","CTCF","I",0.0107014094573031
"737","CREB1","I",0.0106935099854796
"358","CREB1","O",0.0106877538713821
"814","GTF2F1","O",0.0106815382501269
"900","CUX1","O",0.0106349471572503
"930","GTF2F1","O",0.0106344963980977
"833","CTCF","I",0.0106276321658019
"175","ATF3","I",0.010627507743206
"885","MYC","I",0.010607616322475
"93","BATF","I",0.0105866405655214
"693","CTCF","I",0.0105617909797871
"799","CREB1","I",0.0105567518612108
"222","RAD21","O",0.0104727564375138
"911","HDAC2","I",0.0104473630765523
"901","MAX","I",0.0104315381491594
"357","CREB1","I",0.0104134765258847
"577","CTCF","I",0.0103926300219963
"717","SMC3","I",0.0103903899960049
"975","ATF3","I",0.0103316651693141
"525","RNF2","I",0.0103235561304791
"163","TAL1","I",0.0103118913199286
"151","CREB1","I",0.0103027091961997
"1002","RAD21","O",0.0102981097864538
"241","CREB1","I",0.010282440701235
"441","CTCF","I",0.0102298103081691
"242","CREB1","O",0.0102208412872488
"380","RAD21","O",0.0101984470469815
"161","TAL1","I",0.0101941651664091
"152","CREB1","O",0.0100841711068013
"87","NFIC","I",0.010082251976336
"1051","TAL1","I",0.0100318747677956
"1021","NRF1","I",0.00998535204066436
"447","YY1","I",0.00997776981710708
"726","SMC3","O",0.00997380397636937
"1198","RCOR1","O",0.00995870190166491
"189","TAL1","I",0.0099506682760247
"418","KDM5B","O",0.00993298219302438
"680","SMC3","O",0.00987894355181831
"1033","SP2","I",0.00983435918932524
"216","SMC3","O",0.0098229798336086
"618","SMC3","O",0.00981095568304034
"1117","KAT2A","I",0.00980833481685219
"662","SMARCC1","O",0.00978298039026411
"985","NRF1","I",0.00977920306234404
"897","NRF1","I",0.00975768137479422
"782","RCOR1","O",0.00974417255393742
"791","NRF1","I",0.0097087223771229
"505","CTCF","I",0.00968047528266845
"824","RCOR1","O",0.00965253537205137
"785","NRF1","I",0.00964508887685997
"1113","KAT2A","I",0.00964108243975234
"615","CTCF","I",0.00963596123713574
"718","SMC3","O",0.00953599078783633
"48","CEBPB","O",0.00952569984816655
"289","RELA","I",0.00951383097295933
"880","NFYA","O",0.00949271252091584
"1195","MYC","I",0.00947389040605636
"330","SMC3","O",0.00946901281272143
"790","ATF1","O",0.00946275314075019
"361","CTCF","I",0.00945804615681206
"320","RCOR1","O",0.00943747915010608
"871","TAL1","I",0.00942932800704741
"544","HMGN3","O",0.00941332515596527
"969","NRF1","I",0.00937298868374329
"32","MAFK","O",0.00936974128087615
"383","SP2","I",0.00936788269125247
"768","RCOR1","O",0.00928585553864863
"318","RCOR1","O",0.00927467369928941
"1080","RCOR1","O",0.00926313126553105
"277","NFIC","I",0.00921053632605627
"235","SP2","I",0.00916187060175627
"837","CHD1","I",0.00910205441886584
"1125","CTCF","I",0.00908200167798111
"496","SMC3","O",0.00908144967715362
"827","CHD2","I",0.009064468537767
"475","CTCF","I",0.00904562386862738
"956","ELK4","O",0.00904484563139387
"403","BACH1","I",0.00899336574897045
"809","RELA","I",0.00898516169523854
"343","ATF3","I",0.00898364008560184
"1069","MYC","I",0.00895906272031368
"1083","MYC","I",0.00893443244859054
"402","KDM5B","O",0.0089153206637985
"977","USF1","I",0.00881457677023843
"1089","USF1","I",0.00871659204410173
"1215","FOS","I",0.00866718411458382
"949","GTF2B","I",0.00861512464432468
"954","ELK4","O",0.00859282411373248
"39","ETS1","I",0.00844844619092455
"1149","USF1","I",0.00830483792413074
"1200","TBL1XR1","O",0.00825996238418496
"1159","USF1","I",0.0082583751280097
"705","CREB1","I",0.00825358848299479
"793","USF1","I",0.00819508495861732
"543","HMGN3","I",0.00817518537811218
"914","TBL1XR1","O",0.00814188280482682
"951","RELA","I",0.00797516108046604
"674","NFYA","O",0.00796175212873976
"381","USF1","I",0.00795413022147945
"1065","USF1","I",0.00794715253146901
"764","NFYA","O",0.00794379857257586
"797","CHD1","I",0.00777673536786667
"1153","CHD1","I",0.00776310607177107
"1073","CHD2","I",0.00772693457052607
"146","SMARCC2","O",0.00770673897538503
"248","SREBF1","O",0.00756268092256727
"744","NFYB","O",0.00754044104684703
"1027","ETS1","I",0.00746806785808165
"44","HDAC2","O",0.00738709479664146
"64","STAT2","O",0.00733075638329571
"681","MAFF","I",0.00722304433636402
"169","HDAC2","I",0.00712064410757342
"1230","IRF1","O",0.0071133531226482
"91","NFIC","I",0.00704662353955016
"170","HDAC2","O",0.00689487338474844
"844","TBP","O",0.00685011682071638
"345","USF1","I",0.0067334508076603
"102","ZC3H11A","O",0.00664924461878397
"1082","TBP","O",0.00662246407475092
"224","NR2C2","O",0.00660820507278013
"164","TAL1","O",0.00660776647547617
"1061","USF1","I",0.00658695245783824
"672","TBP","O",0.00655775704200252
"86","NR2C2","O",0.00651905428503054
"560","NFYB","O",0.00651720387573895
"865","SIN3A","I",0.00648276332568986
"518","TBP","O",0.00636405487755342
"918","ZKSCAN1","O",0.00631786537794848
"398","NR2C2","O",0.00630628344589669
"114","NR2C2","O",0.00623882279637565
"1055","SIN3A","I",0.00621969509605605
"529","SIN3A","I",0.00620126567934521
"1036","TBP","O",0.00617592392979612
"712","TBP","O",0.00614447532583329
"864","TBP","O",0.00609524818723083
"803","FOS","I",0.00608618801352785
"103","SIN3A","I",0.00603673134150147
"131","SIN3A","I",0.0060355000028878
"218","KAT2A","O",0.00603216375923657
"1085","USF1","I",0.00602779976467615
"631","ELF1","I",0.00602693834820244
"758","NFYB","O",0.00602498224499082
"967","RELA","I",0.00600773320325718
"126","TAL1","O",0.00597468083906041
"557","SIN3A","I",0.00595637180145046
"1045","SIN3A","I",0.00592845334743051
"11","EP300","I",0.00591108393834546
"959","SIN3A","I",0.0058823007285049
"872","TAL1","O",0.0058113341294452
"456","KDM4A","O",0.0057966709520923
"179","SIN3A","I",0.00576548045056489
"187","SIN3A","I",0.00574063548460685
"57","ZZZ3","I",0.00571517288863732
"806","KAT2A","O",0.00559389135460706
"276","MAFK","O",0.00558213648557638
"991","RELA","I",0.005577572822291
"294","TCF12","O",0.00553685477730326
"469","TAF7","I",0.00552627118896715
"162","TAL1","O",0.00552351238789284
"190","TAL1","O",0.00551854803323047
"1118","KAT2A","O",0.00550817932461004
"186","ESRRA","O",0.00548534794622975
"934","ZC3H11A","O",0.00546870133283567
"279","SIN3A","I",0.00546302164197177
"1052","TAL1","O",0.0053698943988795
"183","SIN3A","I",0.00536670091945758
"898","NRF1","O",0.00530765478411392
"697","CHD2","I",0.00523618568734675
"84","SREBF1","O",0.00522122817874955
"212","TCF12","O",0.00522058132678718
"269","FOS","I",0.00522009728816064
"332","PRDM1","O",0.00518657894811392
"1114","KAT2A","O",0.00514260908132073
"935","ELF1","I",0.00510282636161997
"116","MAFK","O",0.00509347623673922
"528","MAFK","O",0.00509144902735791
"56","ZKSCAN1","O",0.00497489410490052
"792","NRF1","O",0.00496847611133734
"786","NRF1","O",0.00495501016194656
"1","TCF12","I",0.00493730194965955
"234","ZC3H11A","O",0.00487206422314524
"1022","NRF1","O",0.00479703131921781
"970","NRF1","O",0.00474708609620134
"773","NCOR1","I",0.00474313073711044
"986","NRF1","O",0.0047412163161834
"542","MAFK","O",0.00470030981924799
"291","ELF1","I",0.00467514348059942
