"","Cftr","Akap7","Zranb1","Krcc1","Mta1","Rps8"
"OXCT1",0.0699571363900837,-0.25335594703345,-0.403471134448781,-0.187946977292714,-0.243541622804783,-0.175470242714889
"OXR1",0.900784628513046,-0.266010415494217,0.946911511500507,0.409185229881369,0.0708907935246811,0.207264020673148
"OXSR1",-1.23098335891144,-0.246594432080365,-1.09244182560596,-1.22801249600265,-0.516410194338691,-1.23901149817358
"P2RX4",1.0234786444054,-0.274921934061086,1.33315283705168,0.573488563972287,0.189612261671896,0.382987663575067
"P2RX5",-1.20118726342419,-0.246528922400067,-1.08452370430424,-1.25531640619401,-0.518837039114922,-1.23123985018778
"P3H4",-1.16685945446095,-0.246134963375992,-1.13583318947691,-0.0454659715477357,-0.529513226597962,-0.00378322567782714
"P4HA1",1.11311788460879,-0.24145572226251,1.27842553054505,0.683219835317425,-0.930437082104835,0.425764950649762
"P4HA2",0.896518242967619,-0.255911055445788,0.941100436290067,0.471199760914134,-0.157550149944849,0.207330037583428
"P4HB",0.796622408310668,0.134602439278405,0.9821294705097,0.821306567254154,0.829710344998107,1.17427919510904
"PA2G4",0.343324273091763,0.344994891522639,1.00429266180048,0.878129252263561,2.52403388255068,1.20223740340589
"PABPC1",1.10337720504809,-0.190488775085105,1.26751854344385,0.834135985835363,0.454846404233016,1.1455464150893
"PABPC4",0.862391677868219,-0.254076468556291,0.93945305314082,0.268983173745512,-0.229838005458362,0.0284524005098665
"PABPN1",-1.28480156795554,-0.246289699274398,-1.05255434774261,-1.21192816680115,-0.530246157246467,-1.21875318753004
"PACRG",0.289496304992696,-0.259853296562557,-0.218277709221018,0.155527849504709,-0.0499054125248402,0.88778922343258
"PACS2",-1.2524537614874,-0.24645377973168,-0.993498575232757,-1.20706505252517,-0.494294146759541,-1.15221771428166
"PACSIN2",-1.20795360603572,-0.246674230019226,-1.08303804621441,-1.23389313376144,-0.517449788101991,-1.28090753302751
"PACSIN3",-1.15348921262654,-0.246645600917102,0.92084298787408,-1.49361479951142,-0.517752548487602,-1.04807261368503
"PAF1",-1.19681160223202,-0.246573128306132,-1.04432593153343,-1.20015504945202,-0.519034978403608,-1.3111202457448
"PAFAH1B1",0.874095088925201,-0.259866550234867,0.942939155564416,0.364809494616933,-0.060556760846028,0.176310629743255
"PAFAH1B2",0.233950080725942,-0.253171786980189,-0.395105564563747,-0.071694899294757,-0.249632626122586,-0.138145603212459
"PAFAH1B3",0.68420677763628,0.546318527052316,0.932353659944565,0.960111950754559,-1.04016147919773,1.30850535966722
"PAFAH2",-1.26470657123699,-0.246597810827676,-0.986358933338587,-1.28849231864938,-0.502093084610708,-1.29161229941552
