"gene","distance","Z","FC","p.value","p.adj"
"Cfap36",2.1291136182089e-07,2.07888135483027,11.6584969081191,0.000639099571997669,0.0477415915582926
"Selplg",2.12826665996914e-07,2.07848052634985,11.6492232874423,0.000642293472562983,0.0477415915582926
"Cotl1",2.12677816140734e-07,2.07777575615875,11.632934174114,0.000647942636818284,0.0477415915582926
"Npc2",2.11591665165528e-07,2.07262035054026,11.5144182039871,0.000690584421221056,0.0503117908673857
"Smim14",2.1093980851722e-07,2.06951550985936,11.4435818744025,0.000717413642734403,0.0516856673276652
"Rps24",2.09037588092872e-07,2.0604082463066,11.2381198117096,0.000801342924525606,0.0570978848640003
"Cbr2",2.08413500877617e-07,2.05740495715335,11.171116576859,0.00083080611670253,0.0585537702249914
"Rpsa",2.081649068593e-07,2.05620652155165,11.1444828270131,0.000842819671756526,0.0587617500179497
"Tmed3",2.06508203528298e-07,2.0481885871439,10.9677995254431,0.00092708782088514,0.0639493343682899
"Cox6a2",2.05651049728343e-07,2.04401874624584,10.8769403700076,0.000973689648054501,0.0664568808208988
"Gnas",2.03991782803015e-07,2.03590467715188,10.7021302773082,0.00107012245144858,0.0722778539082562
"Tpd52",2.03805062496653e-07,2.03498807867186,10.6825472288159,0.00108151036746786,0.0722939507490886
"Pla2g16",2.02443869102745e-07,2.02828441364107,10.5403284481437,0.0011679766186491,0.0772771468910285
"Serinc3",2.02193481265871e-07,2.02704712355872,10.5142714679573,0.00118456122804756,0.0775827778046506
"Rpl23",2.01706698173251e-07,2.02463795644831,10.4637059549226,0.00121742798124305,0.0789380303037992
"Cops9",2.01327922527903e-07,2.02275991479284,10.4244442380627,0.00124358274302559,0.0798355495621578
"Aldoa",2.00378919529078e-07,2.01804135748259,10.3264000848454,0.00131140740867829,0.0827540365728043
"Fis1",2.00304963385454e-07,2.01767284147198,10.318778925936,0.00131683385167112,0.0827540365728043
"Sdf2l1",2.00061715000744e-07,2.01645994310363,10.2937320954648,0.00133482839832579,0.0827540365728043
"Rpl36a",1.99991098345566e-07,2.01610759575583,10.2864665310386,0.0013400946699791,0.0827540365728043
"Rps16",1.9961570046524e-07,2.01423274157614,10.2478858783147,0.00136841337441931,0.0837055879220268
"Rpl31",1.98457568710487e-07,2.00842972733852,10.1293183213689,0.00145929366753641,0.0873215960074097
"Gusb",1.98407915736605e-07,2.00818028997663,10.1242503578381,0.00146331161847685,0.0873215960074097
"Rhob",1.98351005631822e-07,2.00789433033605,10.1184432355392,0.00146792935916219,0.0873215960074097
"Lgmn",1.96515447024186e-07,1.99863348244243,9.93203573630902,0.00162426795477277,0.0948941504224379
"Slc16a3",1.96512858318242e-07,1.99862036996055,9.9317740678144,0.00162449887367221,0.0948941504224379
"Ifi207",1.95315895800589e-07,1.9925416520442,9.81115339671243,0.00173456687855483,0.100419032504906
"Tmem119",1.94851844597821e-07,1.9901764711221,9.76458812435869,0.00177905367066772,0.101905835443921
"Tceal9",1.94722061083177e-07,1.98951413258853,9.75158480356669,0.00179168186931015,0.101905835443921
"Jun",1.944675420346e-07,1.98821412738994,9.72610908706448,0.00181668662355707,0.102429531018644
"Rps18",1.93507133072184e-07,1.98329559403534,9.63027842940603,0.0019139559181689,0.106983535977648
"Prdx1",1.92945889640614e-07,1.98041169106998,9.57449658548307,0.00197298945867592,0.109340714957732
"Echs1",1.92773501198118e-07,1.97952445614729,9.557395467455,0.00199145463518329,0.109428744529902
"Rps8",1.92188942380187e-07,1.97651086762584,9.4995204060506,0.00205525610775677,0.111968556888534
"Cyba",1.91946680629097e-07,1.97525964685987,9.4755864592227,0.002082243097444,0.111968556888534
"Rap2b",1.91882195187231e-07,1.97492636968125,9.46922078790985,0.00208948108937579,0.111968556888534
"Serf2",1.90691471179938e-07,1.96875523425984,9.35206302531168,0.00222734607444039,0.118377966775996
"Eef1g",1.90331500198087e-07,1.96688317530945,9.31678830829327,0.00227063651973092,0.118886958348451
"Nop10",1.90213024552073e-07,1.96626637473394,9.3051930761076,0.00228505224143473,0.118886958348451
"Rpl32",1.90156746199363e-07,1.96597326746846,9.29968763326595,0.00229192933275083,0.118886958348451
"Gyg",1.89730861772039e-07,1.96375279566636,9.25807820260091,0.00234458922433887,0.120099069372208
"Gm10076",1.89624206666465e-07,1.9631960552148,9.24767247561577,0.00235794928406124,0.120099069372208
"Vsir",1.89392700588582e-07,1.96198667541216,9.22510588932642,0.00238718887397119,0.120099069372208
"Sem1",1.89333724135821e-07,1.96167838366351,9.21936143022257,0.002394690557509,0.120099069372208
"Ctsl",1.89230217763467e-07,1.96113712018091,9.20928396705848,0.00240790854694434,0.120099069372208
"Ifitm3",1.88843743847388e-07,1.95911391485772,9.17170525926011,0.00245785445609766,0.121654414452956
"P2ry12",1.88232647536381e-07,1.9559076104444,9.11244222404177,0.00253876692278975,0.124707308540672
"mt-Atp6",1.87922959596461e-07,1.95427935876558,9.08248257515243,0.00258069480158356,0.125813722507276
"Csf1r",1.87407826487439e-07,1.95156587611874,9.03275714613813,0.00265184210791056,0.128317494236508
"Rps17",1.86701641429101e-07,1.94783570072368,8.96481142535372,0.00275229105205901,0.132191519863338
"mt-Co3",1.85772982118231e-07,1.9429120881687,8.87585076590903,0.00288967546575442,0.137769527352586
"Rps26",1.84716151402492e-07,1.93728341822297,8.77515161977382,0.00305361774397262,0.144252737530475
"Atox1",1.8461244596338e-07,1.9367296106036,8.76530109522417,0.00307015388328277,0.144252737530475
"Rpl26",1.83431871397844e-07,1.930406400011,8.65355343841692,0.00326424125947186,0.152268635441839
"Gm11808",1.83148269136488e-07,1.9288822628357,8.62681577147927,0.00331250088287919,0.153416112318491
"Ier5",1.82344159937278e-07,1.92454988174097,8.55123030422397,0.00345288783448539,0.158783863253924
"Atp6v0e",1.81769793340787e-07,1.92144535656636,8.49744403976703,0.00355645725335659,0.162394850920874
"Cst3",1.8119915888074e-07,1.91835273723523,8.44417530779664,0.00366214470290758,0.165977373683603
"Rpl14",1.81071845577782e-07,1.91766161895333,8.43231346273641,0.00368611070487951,0.165977373683603
"Tspo",1.8073675592865e-07,1.91584061414049,8.40113283986907,0.00374987253158469,0.167571499732246
"Sec61b",1.80606767042229e-07,1.91513343253062,8.38905271609752,0.003774875887967,0.167571499732246
"Gpi1",1.80481854788036e-07,1.91445346177643,8.3774525626058,0.00379904541342384,0.167571499732246
