"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Perp",9.94684812735536e-25,-0.12492858025831,0.869,0.984,5.46091909039937e-20
"Rpl37rt",1.14704314064199e-24,0.00546321120808351,0.061,0.127,6.29738154643857e-20
"Atg14",1.20314774319978e-24,0.0109828639438969,0.074,0.14,6.60540142494109e-20
"Ube2e2",1.22281972467236e-24,0.0142808240464455,0.105,0.177,6.71340257042371e-20
"Psme1",1.23543916591526e-24,0.0807541114959645,0.862,0.96,6.78268456479135e-20
"Snhg14",1.2691004486411e-24,-0.0227507600299749,0.078,0.179,6.96748837308451e-20
"Phf1",1.32806420346466e-24,-0.0177416653015678,0.048,0.14,7.29120528344131e-20
"Zfp770",1.37904612211602e-24,-0.0132461258536571,0.057,0.138,7.57110111502914e-20
"Gpatch2l",1.43518976760363e-24,-0.01377626486951,0.068,0.158,7.87933534312069e-20
"Rrm1",1.46328333019578e-24,-0.00729470735926216,0.103,0.198,8.03357181110786e-20
"Naa16",1.48085009060176e-24,-0.0228535553069988,0.122,0.235,8.13001508241272e-20
"Adamtsl5",1.50722774886398e-24,-0.0118824359708161,0.052,0.142,8.27483106403813e-20
"Dus2",1.51236823547412e-24,-0.0138514342565422,0.061,0.145,8.30305284957646e-20
"Arl6ip1",1.54661773451604e-24,-0.0618656262760622,0.865,0.986,8.49108602426651e-20
"Dyrk1b",1.5524703664148e-24,-0.000771267144989748,0.058,0.138,8.52321755865388e-20
"Smdt1",1.60504175888696e-24,0.18225548415795,0.969,0.993,8.81183976046529e-20
"Trim30d",1.60597803527084e-24,-0.00624358084841911,0.14,0.241,8.81698001144044e-20
"Camk2b",1.64034661188969e-24,-0.00988661284145867,0.104,0.204,9.00566693393559e-20
"Dhx34",1.66354048959487e-24,-0.00103923332008266,0.049,0.121,9.13300364192482e-20
"Poglut1",1.67809603277098e-24,0.000885328967456966,0.069,0.145,9.21291502951596e-20
"Polrmt",1.70391398182896e-24,-0.00894391088342658,0.114,0.214,9.35465815163915e-20
"Tmc4",1.79408759237395e-24,-0.0335520622405521,0.83,0.966,9.84972029089223e-20
"Crybg3",1.81481306174295e-24,-0.0134742147175431,0.071,0.162,9.96350519027495e-20
"Iffo2",1.88836808525228e-24,-0.0209813666949505,0.081,0.185,1.03673296248435e-19
"Pik3r3",1.93183944007919e-24,-0.000368562692237964,0.073,0.151,1.06059917099787e-19
"Slc25a15",1.93524352561394e-24,0.0124590597784085,0.067,0.124,1.06246804799731e-19
"Gas8",1.95075012202723e-24,0.00200913849918159,0.053,0.125,1.07098132449417e-19
"B330016D10Rik",1.97962100004685e-24,0.00488465771556789,0.06,0.124,1.08683172523572e-19
"Rrn3",2.01342295479981e-24,-0.0125748867921937,0.08,0.171,1.10538933641465e-19
"Rpl6l",2.01858242486345e-24,-0.0055203481343371,0.045,0.114,1.10822193707428e-19
"Bex3",2.15501106777578e-24,0.04582739350024,0.168,0.239,1.18312262631958e-19
"Arpc5",2.16046345189401e-24,-0.0645775738601329,0.849,0.979,1.18611603972433e-19
"Vsig2",2.16528606786379e-24,-0.0481513802948937,0.229,0.385,1.1887637041179e-19
"2610306M01Rik",2.23391858176019e-24,0.00259816956026031,0.081,0.155,1.22644364057216e-19
"Afap1",2.26371773150474e-24,0.001351508426989,0.066,0.137,1.24280367177342e-19
"Ffar4",2.27002429780239e-24,-0.0271708012118551,0.052,0.145,1.24626603973649e-19
"S100pbp",2.28390333514821e-24,-0.00760935549661383,0.075,0.162,1.25388577002972e-19
"BC029722",2.39561159677758e-24,-0.00152041667646495,0.066,0.141,1.31521472274686e-19
"Gm19391",2.55564101698962e-24,-0.00147557437158598,0.044,0.111,1.40307247473747e-19
"Arid3a",2.57904208298096e-24,-0.0192613298281695,0.031,0.104,1.41591989397738e-19
"Cyp20a1",2.6283635960121e-24,-0.00201096688070126,0.071,0.147,1.4429978978466e-19
"Gm42941",2.67299887503476e-24,0.00572099073725479,0.062,0.134,1.46750311238283e-19
"Zfp946",2.79432353265768e-24,6.3960555938436e-05,0.077,0.154,1.53411156266439e-19
"Tctex1d2",2.8272997505043e-24,0.0191764734217276,0.068,0.135,1.55221583602437e-19
"Fam83c",2.86012309461808e-24,-0.00660397401545221,0.066,0.155,1.57023618017627e-19
"Mmachc",2.95348711682782e-24,-0.00280030511383503,0.047,0.11,1.62149396200964e-19
"Pcgf6",3.00629432280061e-24,0.0110824250040181,0.086,0.152,1.65048564616076e-19
"Lipo3",3.01536204618295e-24,-0.0176821877401917,0.045,0.128,1.6554639169749e-19
"Foxred1",3.06786923740654e-24,-0.00240214923313428,0.058,0.132,1.68429089002856e-19
"Slc20a2",3.1944643319653e-24,-0.0156357576459413,0.063,0.152,1.75379286289227e-19
"Cpsf4",3.20763590071817e-24,0.01293469827377,0.104,0.172,1.76102418585328e-19
"Acot1",3.24068973843506e-24,-0.0118905089625241,0.053,0.132,1.77917107329823e-19
"Thap1",3.2456188300538e-24,-0.00700249571438258,0.068,0.151,1.78187719388784e-19
"Fkbp8",3.24667137973026e-24,0.00823878804290534,0.864,0.979,1.78245505418571e-19
"Eogt",3.27141862051358e-24,-0.0187018556743717,0.061,0.152,1.79604153684816e-19
"Sesn1",3.30015995532534e-24,0.023188069895016,0.073,0.135,1.81182081707316e-19
"Yju2",3.33768207007063e-24,-0.00342048149913343,0.077,0.157,1.83242083328948e-19
"Smarcal1",3.343189348258e-24,0.00148418043460377,0.074,0.148,1.83544438408713e-19
"Bag1",3.4771252667777e-24,-0.0387427540041361,0.866,0.984,1.90897654271363e-19
"Cry2",3.52166136322238e-24,-0.000962292463022651,0.063,0.132,1.93342730502272e-19
"Fbp2",3.60538856217892e-24,0.0961091351170107,0.887,0.973,1.97939437452185e-19
"Gm45912",3.61380437527815e-24,0.0314491281939414,0.126,0.187,1.98401474007146e-19
"Sorbs1",3.63093830261038e-24,-0.0034636543863201,0.06,0.132,1.99342143751613e-19
"Pmaip1",3.63480459270554e-24,-0.00999586181491093,0.057,0.14,1.99554406944127e-19
"Zfp827",3.79072326429988e-24,-0.0285807789172806,0.089,0.197,2.08114497933328e-19
"Areg",3.87807542102989e-24,-0.149125929318237,0.208,0.399,2.12910218689962e-19
"AW112010",3.88846255877907e-24,0.0340463464226477,0.432,0.584,2.1348048293953e-19
"Tagap1",3.94281897700375e-24,0.00049641962798571,0.059,0.125,2.16464704656483e-19
"Vav3",4.19042937239899e-24,0.00596578264506234,0.07,0.141,2.30058762974077e-19
"Lipt2",4.22948687294839e-24,0.00317850193731317,0.104,0.192,2.3220305881174e-19
"Ears2",4.34139592246743e-24,-0.00923457362266962,0.065,0.145,2.38346977539385e-19
"Gm9908",4.37043475628398e-24,0.00421912491000049,0.051,0.111,2.39941238554747e-19
"Ddx5",4.37317616970225e-24,-0.145640314785287,0.963,0.996,2.40091744892823e-19
"Muc3",4.43813288801747e-24,-0.333118216236879,0.869,0.976,2.43657933685047e-19
"ccdc198",4.5531372503625e-24,-0.00235524391259068,0.148,0.245,2.49971788182152e-19
"Abca12",4.79398219532819e-24,-0.0513306491937785,0.034,0.135,2.63194416505713e-19
"Tbck",5.19161438186692e-24,-0.00470495898767821,0.061,0.134,2.85024821178875e-19
"Trmt61b",5.22827377090767e-24,0.00987373854631582,0.077,0.148,2.87037458296602e-19
"Rnu11",5.2651543635502e-24,-0.0369991992647644,0.054,0.164,2.89062239713269e-19
"Foxa2",5.34710339329062e-24,0.00968029369751711,0.103,0.191,2.93561323395048e-19
"Ttyh2",5.3492573923861e-24,0.0111095066333863,0.086,0.168,2.93679580099389e-19
"Dynlt1a",5.59690621160135e-24,-0.00827201089237078,0.05,0.124,3.07275747923126e-19
"Gm8989",5.69363666869239e-24,0.0471198165934232,0.368,0.487,3.12586346747881e-19
"Prmt6",5.84636697493445e-24,-0.0062528279346527,0.082,0.167,3.20971393290876e-19
"Trim68",5.88667691833905e-24,-0.024355002298505,0.039,0.127,3.23184449493732e-19
