"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Clpp",0.0213534681913826,0.0726411448416407,0.485,0.497,1
"Mapre1",0.0213558727483762,-0.0583692780542973,0.463,0.544,1
"Higd2a",0.0213649041028883,0.0956693464490964,0.565,0.55,1
"Prmt7",0.0213941907804513,0.110480073311292,0.258,0.211,1
"Sms",0.0214722563367076,-0.0547391012114743,0.279,0.352,1
"mt-Co1",0.0214877317960322,-0.120489703115997,0.988,0.982,1
"Sh3bgrl2",0.0215630709194084,-0.00694606781864746,0.159,0.207,1
"Htatsf1",0.0215906721936713,-0.0172749776687983,0.306,0.372,1
"Hyi",0.0216022377732241,0.0839532535890137,0.172,0.139,1
"Ifi27l2b",0.0216458075183506,0.115606209437913,0.31,0.252,1
"Ptprj",0.0216716208205239,-0.053225152782618,0.099,0.151,1
"Agr2",0.021678020500466,-0.0503060684902081,0.632,0.56,1
"Chka",0.0216907395127114,-0.0666693139792274,0.555,0.632,1
"Chn2",0.0217155029732644,-0.036695514323914,0.315,0.387,1
"Trim35",0.0218017882765332,-0.168450547591804,0.355,0.405,1
"Wdr36",0.0218100958378032,-0.0581957533814224,0.125,0.182,1
"Anpep",0.021819462491288,-0.114295158196507,0.174,0.176,1
"Ago2",0.021823914245244,0.103014872206156,0.494,0.493,1
"Smim14",0.0218342488668697,0.0554099804002258,0.62,0.652,1
"Sod1",0.0218498599764013,0.135584199302053,0.654,0.618,1
"Set",0.0218532146966002,-0.102756692802317,0.742,0.808,1
"Bmi1",0.0218540576731517,0.00660585496634508,0.255,0.301,1
"Ctss",0.0218941699324393,0.0832739262939717,0.203,0.16,1
"Tmbim4",0.0219200906428441,0.0354588644619218,0.564,0.601,1
"Gigyf2",0.0219211673765768,-0.0659186589271566,0.331,0.409,1
"Sinhcaf",0.0219855938174205,0.051712183631391,0.182,0.192,1
"Plrg1",0.0220137385962259,-0.0179826466530479,0.178,0.235,1
"Il17re",0.022159574388992,-0.118450164015207,0.26,0.323,1
"Wdr89",0.0222105182249518,-0.107102161232824,0.18,0.223,1
"Marcks",0.0222875638603235,-0.0514984372163543,0.871,0.92,1
"Myt1",0.0223015219801838,0.0127226605622565,0.409,0.462,1
"Dxo",0.0223049498484308,0.0839325474768017,0.19,0.194,1
"Col8a1",0.0223091580634127,0.0780060284922287,0.237,0.25,1
"Spata2",0.0223441963386497,0.0613546606263066,0.128,0.114,1
"Pkm",0.0223674565728202,0.127144800317223,0.918,0.9,1
"Scp2",0.0224186344723364,0.0492940497560932,0.696,0.724,1
"Hif1a",0.0224473485058556,0.0618793933069115,0.426,0.466,1
"Dnajc15",0.0224856609263658,0.0965055007814419,0.409,0.352,1
"Prmt2",0.0225553309316753,0.0550634918759905,0.264,0.282,1
"Nt5dc1",0.0225698235547669,0.0524478789605754,0.11,0.112,1
"Polr3k",0.0225719006212709,0.0260783856329032,0.349,0.38,1
"Pigx",0.0226784943068838,-0.0481308898966579,0.272,0.344,1
"Gm49336",0.0227970467683136,-0.0552802244303627,0.218,0.288,1
"Snhg3",0.0228175926094787,0.0748841977767903,0.182,0.164,1
"Acaa2",0.0228366836185934,0.043177005007877,0.254,0.29,1
"Stk16",0.0228425930805464,-0.000604834862107495,0.438,0.501,1
