gene,distance,Z,FC,p.value,p.adj
Cnot6l,1.97169038266352e-17,-0.921319070783139,7.74778045497414e-19,0.99999999929769,1
Cyth3,1.97154931942343e-17,-0.921326739169979,7.74667187532319e-19,0.99999999929774,1
B3glct,1.97150536256385e-17,-0.921329128830307,7.74632644590028e-19,0.999999999297756,1
Pnkd,1.97143787439616e-17,-0.921332797839618,7.74579611365759e-19,0.99999999929778,1
Rnf220,1.97107453526486e-17,-0.921352552903214,7.74294125170829e-19,0.99999999929791,1
Tmem87b,1.97080721529393e-17,-0.92136708953075,7.74084117640847e-19,0.999999999298005,1
Eif2d,1.97039865190907e-17,-0.921389310471713,7.73763203811221e-19,0.99999999929815,1
Dync1li2,1.9699041934275e-17,-0.921416208928944,7.73374911042349e-19,0.999999999298327,1
Ecd,1.96988343453248e-17,-0.921417338349582,7.73358611443567e-19,0.999999999298334,1
Mkrn1,1.96968926660194e-17,-0.921427902911568,7.73206161772743e-19,0.999999999298403,1
Rab24,1.96905929159569e-17,-0.92146218629144,7.72711644521702e-19,0.999999999298627,1
AC109152.2,1.96902487554507e-17,-0.921464059520714,7.72684633196267e-19,0.99999999929864,1
Rnf208,1.96862253422193e-17,-0.921485960841349,7.7236889193838e-19,0.999999999298783,1
Ap2b1,1.9672382312676e-17,-0.921561347424301,7.71283039672579e-19,0.999999999299276,1
Klhl9,1.96716395862961e-17,-0.921565393599299,7.71224801535796e-19,0.999999999299302,1
Cep63,1.96674077093699e-17,-0.921588450504275,7.70893016544299e-19,0.999999999299453,1
Fubp3,1.96658617513242e-17,-0.921596874657963,7.70771829101658e-19,0.999999999299508,1
Mapre3,1.96642076256043e-17,-0.921605888929962,7.70642172959082e-19,0.999999999299567,1
Lmf1,1.96640611614185e-17,-0.921606687131339,7.70630693111009e-19,0.999999999299573,1
Itgav,1.96583196623224e-17,-0.921637981637696,7.70180742365901e-19,0.999999999299777,1
Ppm1a,1.96571906679293e-17,-0.921644136334682,7.70092280606628e-19,0.999999999299817,1
Tada2a,1.96514673178492e-17,-0.921675342263717,7.69643908695346e-19,0.999999999300021,1
Mul1,1.96513154748184e-17,-0.921676170288496,7.69632014966455e-19,0.999999999300026,1
Msl2,1.96505105881742e-17,-0.92168055956796,7.69568970449725e-19,0.999999999300055,1
Man1a,1.96501611642312e-17,-0.921682465130863,7.69541601854693e-19,0.999999999300068,1
Mex3a,1.96459844072288e-17,-0.921705245321618,7.69214495461011e-19,0.999999999300216,1
Lcorl,1.96429891974363e-17,-0.921721584141922,7.68979965786975e-19,0.999999999300323,1
Gopc,1.96410485981656e-17,-0.921732171342598,7.68828032877785e-19,0.999999999300392,1
Akirin2,1.96379117631519e-17,-0.921749286869955,7.6858247632331e-19,0.999999999300504,1
Fam175b,1.96356052556705e-17,-0.92176187353434,7.68401944182491e-19,0.999999999300586,1
Ddhd2,1.9635113846095e-17,-0.921764555349191,7.68363483911644e-19,0.999999999300604,1
Nt5dc1,1.9631512969271e-17,-0.921784208692337,7.68081689919138e-19,0.999999999300732,1
Gnpat,1.9625298582787e-17,-0.921818134451184,7.67595491936857e-19,0.999999999300953,1
Ep300,1.96236561999334e-17,-0.921827102300189,7.67467021746446e-19,0.999999999301012,1
Eef1kmt4,1.96174107879746e-17,-0.921861210429279,7.66978592379896e-19,0.999999999301234,1
Igsf3,1.96120294682903e-17,-0.921890607757014,7.66557865001907e-19,0.999999999301426,1
Hook2,1.96063715602945e-17,-0.921921524309073,7.66115637615912e-19,0.999999999301627,1
Ogfrl1,1.96010368698045e-17,-0.9219506824649,7.65698790084498e-19,0.999999999301817,1
Setd3,1.95984372607255e-17,-0.921964894044929,7.65495700264053e-19,0.99999999930191,1
AC124730.7,1.95960224741869e-17,-0.921978096838829,7.65307073506992e-19,0.999999999301996,1
Mccc1,1.95908007547779e-17,-0.922006651763568,7.64899267650271e-19,0.999999999302182,1
Shtn1,1.95897090641142e-17,-0.922012622577745,7.64814022525928e-19,0.999999999302221,1
Atg13,1.95847976804931e-17,-0.922039488455485,7.64430573830881e-19,0.999999999302396,1
Dynlt1,1.95846241232151e-17,-0.922040437952403,7.64417025373148e-19,0.999999999302402,1
Lrrcc1,1.95841894247903e-17,-0.922042816135028,7.6438309189687e-19,0.999999999302417,1
Ccdc86,1.95804119374829e-17,-0.922063484423716,7.6408824497796e-19,0.999999999302552,1
Fam53a,1.95739766219623e-17,-0.922098703580011,7.63586075675241e-19,0.999999999302781,1
Sys1,1.95674518857046e-17,-0.922134423349127,7.63077097098846e-19,0.999999999303014,1
