"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Trappc10",1.16732684327823e-45,-0.0121521235015417,0.335,0.534,6.35749545386188e-41
"Grk6",1.17187280845217e-45,-0.0090484454227191,0.327,0.535,6.3822536893922e-41
"Asnsd1",1.18047556697156e-45,0.00454666842481632,0.34,0.541,6.42910603284053e-41
"Myo5c",1.19223182404172e-45,-0.0247412860578866,0.35,0.566,6.49313296009601e-41
"Map2k1",1.20130681138011e-45,-0.056630048499867,0.572,0.794,6.54255715613838e-41
"Minpp1",1.22661944712252e-45,0.00450056910710916,0.359,0.553,6.68041483291867e-41
"Pla2g4a",1.25876525385708e-45,-0.0198743999907103,0.374,0.595,6.85548732555645e-41
"Mgat5",1.34996112179652e-45,-0.0542853134493723,0.355,0.586,7.35215826152823e-41
"Ninj1",1.37409788716322e-45,0.0295733357697576,0.362,0.549,7.48361191306833e-41
"Polr2k",1.46001682649324e-45,0.00480290539686457,0.369,0.565,7.95154364044747e-41
"Usf3",1.46005039164001e-45,-0.0862942562681839,0.393,0.641,7.95172644294985e-41
"Inava",1.47078690480692e-45,-0.0759772894052608,0.378,0.614,8.01019964095945e-41
"Nus1",1.50142220544489e-45,-0.0404428586152106,0.342,0.57,8.17704561529393e-41
"Pllp",1.61174128109158e-45,-0.0785060884342098,0.437,0.678,8.77786536508096e-41
"Rreb1",1.61375040031099e-45,-0.0185844302670447,0.424,0.64,8.7888074301737e-41
"Npdc1",1.62108343127446e-45,0.0476721497661892,0.431,0.609,8.82874458340699e-41
"Setd5",1.62957918691721e-45,0.0899065555279523,0.413,0.558,8.87501416778852e-41
"Esrra",1.6437821255929e-45,-0.0313052410902999,0.578,0.794,8.95236621240403e-41
