"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Phyh",1.90423287493355e-46,-0.00848747402083527,0.519,0.727,1.03708330834631e-41
"Atl2",1.92752015905327e-46,-0.0523673562135253,0.323,0.545,1.04976602902359e-41
"Hbp1",1.92928709160642e-46,-0.0581410314216146,0.29,0.513,1.05072833583069e-41
"Sec24c",1.93167112828914e-46,0.00197886246495399,0.344,0.544,1.05202672988883e-41
"Glg1",1.9637071197827e-46,0.00449843743315359,0.487,0.699,1.06947417157605e-41
"Nae1",1.96674786315319e-46,-0.0338108005359516,0.306,0.517,1.07113022123049e-41
"Tra2a",2.03233410755714e-46,-0.0354887860916706,0.635,0.845,1.10684980165777e-41
"Cited2",2.05298962633137e-46,-0.0638180642334837,0.557,0.792,1.11809921029259e-41
"Ssr3",2.10805871028497e-46,-0.00832620450419252,0.554,0.764,1.1480909347954e-41
"Pex6",2.16492777684559e-46,-0.100417161812749,0.268,0.504,1.17906296582565e-41
"Tufm",2.17970732415153e-46,-0.0930214772418546,0.28,0.515,1.18711220287941e-41
"Eif2b4",2.22380322064122e-46,0.0396716959760082,0.303,0.472,1.21112771002562e-41
"Trmt1",2.31388978274971e-46,0.00440726460611574,0.387,0.6,1.26019065348115e-41
"Nop10",2.38207878306269e-46,0.0620758069438818,0.665,0.831,1.2973277468316e-41
"Yipf5",2.39972713352601e-46,-0.0250849512262988,0.347,0.555,1.30693939146094e-41
"Slc44a1",2.40049876486751e-46,-0.0775584276265022,0.746,0.948,1.30735963732214e-41
"1110059E24Rik",2.43827863651919e-46,-0.0583481633191414,0.316,0.549,1.32793531102108e-41
"Ddx17",2.45855804334802e-46,-0.0154700422570433,0.524,0.751,1.3389798815682e-41
"Pomp",2.52535231396174e-46,0.116605007750542,0.781,0.903,1.37535737722984e-41
"Cct3",2.56709132055504e-46,0.0405197380678535,0.68,0.857,1.39808927500068e-41
"Fam83e",2.63222090629213e-46,0.00653615394561924,0.76,0.934,1.43356014998482e-41
"Llgl2",2.69206405514986e-46,-0.0633778290307871,0.365,0.608,1.46615192571572e-41
"Nipa2",2.73566437548706e-46,-0.0175887637735807,0.377,0.589,1.48989753217776e-41
"Gtf2e2",2.76123994666013e-46,-0.0502189931654339,0.236,0.447,1.50382649975004e-41
"Ilvbl",2.78984349821393e-46,-0.0305940045264761,0.347,0.57,1.51940456599727e-41
"Peli1",2.81975703716785e-46,-0.0286599922243853,0.415,0.642,1.53569607758235e-41
"Akap7",2.84461344709836e-46,-0.00837163077036229,0.284,0.475,1.54923337555871e-41
"Pank3",2.87063604648174e-46,-0.0346829323109115,0.453,0.678,1.56340580363489e-41
"Fam192a",2.87331362612747e-46,0.00399297495657347,0.334,0.531,1.56486406706154e-41
"Smu1",2.91684188413707e-46,0.0243319353534356,0.403,0.583,1.58857042693873e-41
"Dapk3",2.92328221543471e-46,-0.0265600022770228,0.357,0.562,1.59207796017005e-41
"Pin4",2.97836472522169e-46,0.0102158475402777,0.332,0.512,1.62207699665023e-41
"Mrpl34",3.01454729468969e-46,0.100779841207029,0.736,0.874,1.6417827476339e-41
"Bcl2l14",3.08429654316967e-46,-0.0116263020875733,0.362,0.57,1.67976958334106e-41
"Spred2",3.09014291710163e-46,-0.0468485329640553,0.197,0.397,1.68295363551189e-41
"Tmem165",3.25921983186608e-46,0.0665371960374818,0.451,0.617,1.77503630483091e-41
"Mpi",3.28565528892708e-46,0.0471903106353825,0.346,0.498,1.78943358345547e-41
"Cuedc2",3.30988671907085e-46,0.0731984181557805,0.426,0.577,1.80263050494037e-41
"Srsf11",3.33642003766693e-46,0.0147713708846333,0.668,0.862,1.81708108091416e-41
"Snx14",3.35245330491528e-46,-0.0816740620295071,0.287,0.526,1.82581311892296e-41
"Stxbp3",3.49880415981107e-46,-0.0422060347384637,0.319,0.531,1.90551872151631e-41
"Hdac3",3.5824917199728e-46,-0.0131347897371885,0.291,0.49,1.95109664053159e-41
"Rtf2",3.59189444112067e-46,0.0406129765708488,0.359,0.528,1.95621755052314e-41
"B3galt5",3.67092501110391e-46,-0.104234923641085,0.561,0.809,1.99925917954741e-41
"Chchd7",3.78386759912141e-46,0.105191069460594,0.483,0.617,2.0607699718335e-41
"Tmem234",3.80743439466347e-46,0.0879523287932706,0.779,0.926,2.07360492002162e-41
"Map1lc3b",3.80775508168132e-46,0.0138792400431811,0.785,0.955,2.07377957258528e-41
"Bhlhe40",3.85626946703868e-46,-0.110957739844704,0.321,0.574,2.10020147713861e-41
"Dcxr",3.86786651068126e-46,0.0480023004605155,0.656,0.837,2.10651745904723e-41
"Laptm4b",3.88274218407084e-46,0.00736738095011757,0.535,0.743,2.11461904828866e-41
"Bod1l",3.98362328823214e-46,-0.019127278114369,0.439,0.669,2.16956091523699e-41
"Arhgap12",4.03223096940489e-46,-0.0296841020141668,0.312,0.528,2.19603363055729e-41
"Jkamp",4.11367949454668e-46,-0.0166364781568725,0.233,0.425,2.24039212632001e-41
"Acbd6",4.1823761338921e-46,0.00912476973225385,0.356,0.538,2.27780569004031e-41
"Ivns1abp",4.1839369245944e-46,-0.240208963394417,0.782,0.968,2.2786557278726e-41
"Mkln1",4.32060775179122e-46,-0.0356351372157274,0.39,0.613,2.35308939378053e-41
"Ggt6",4.43170116979251e-46,-0.0495638516841176,0.336,0.565,2.41359309109239e-41
"Zdhhc3",4.52351324286582e-46,0.0314632803012707,0.461,0.649,2.46359578232958e-41
"Washc2",4.58666067561587e-46,-0.0318354428715928,0.218,0.414,2.49798713715391e-41
"Atad3a",4.72915369490322e-46,0.0989741746692268,0.439,0.569,2.57559168531819e-41
